longitude,latitude,StateCode,LGA,LGA NAME,year,Median Age Ð Males (years),Median Age Ð Females (years),Median Age Ð Persons (years),Births,Total fertility rate (per female),Deaths,Population density (persons/km2),Arrivals,Departures,Postgraduate degree (%),Train or tram To Work,Bus To Work,Car (as driver; passenger) To Work,Motor bike/scooter To Work,Bicycle To Work,Other (inc. taxis) To Work,Couple families with children under 15 and/or dependent students,Couple families with non-dependent children only,Couple families without children,One parent families; children under 15 and/or dependent students,One parent families; non-dependent children only,Broadband connection (%)
142.2157918,-30.65442892,1,19399,Unincorporated NSW,2010,42,39.2,40,12,1.9,7,,76,71,,,,,,,,,,,,,
142.2157918,-30.65442892,1,19399,Unincorporated NSW,2011,43.7,40.9,42.5,12,1.6,,,80,85,0.6,,3,183,23,39,41,104,18,123,16,12,66.2
142.2157918,-30.65442892,1,19399,Unincorporated NSW,2012,43.3,41.7,42.5,12,1.9,5,,68,74,,,,,,,,,,,,,
142.2157918,-30.65442892,1,19399,Unincorporated NSW,2013,43.7,40.6,42,13,2.1,7,,63,65,,,,,,,,,,,,,
142.2157918,-30.65442892,1,19399,Unincorporated NSW,2014,43.4,37.9,41.2,8,,6,,52,70,,,,,,,,,,,,,
146.9741755,-36.85357324,2,20110,Alpine (S),2010,46.1,47.3,46.7,116,2.2,127,2.5,765,841,,,,,,,,,,,,,
146.9741755,-36.85357324,2,20110,Alpine (S),2011,46.9,48,47.5,89,1.9,97,2.5,821,792,1.5,4,29,3388,20,64,121,988,213,1614,285,104,60.2
146.9741755,-36.85357324,2,20110,Alpine (S),2012,47.6,48.9,48.2,109,2,109,2.5,860,811,,,,,,,,,,,,,
146.9741755,-36.85357324,2,20110,Alpine (S),2013,48.3,49.6,49,87,1.9,126,2.5,779,737,,,,,,,,,,,,,
146.9741755,-36.85357324,2,20110,Alpine (S),2014,48.8,50,49.5,87,2,109,2.5,787,729,,,,,,,,,,,,,
142.8431707,-37.47271844,2,20260,Ararat (RC),2010,43.6,44.9,44.2,128,2.4,130,2.7,791,799,,,,,,,,,,,,,
142.8431707,-37.47271844,2,20260,Ararat (RC),2011,44,45,44.4,115,2.3,134,2.7,847,991,0.9,5,19,3216,27,32,81,904,184,1385,305,134,56
142.8431707,-37.47271844,2,20260,Ararat (RC),2012,44.5,44.9,44.7,127,2.3,117,2.7,864,869,,,,,,,,,,,,,
142.8431707,-37.47271844,2,20260,Ararat (RC),2013,45.3,45.3,45.3,116,2.3,124,2.7,776,853,,,,,,,,,,,,,
142.8431707,-37.47271844,2,20260,Ararat (RC),2014,45.7,45.7,45.7,113,2.3,119,2.7,692,764,,,,,,,,,,,,,
143.7814699,-37.49285265,2,20570,Ballarat (C),2010,35.1,38.2,36.7,1157,2,761,126.3,5835,4780,,,,,,,,,,,,,
143.7814699,-37.49285265,2,20570,Ballarat (C),2011,35.5,38.1,36.8,1207,1.9,766,128.8,6258,5076,2.5,470,382,31126,105,386,593,8266,1537,9249,3254,1270,63.3
143.7814699,-37.49285265,2,20570,Ballarat (C),2012,35.5,38.2,36.9,1321,1.9,698,131.2,5641,4873,,,,,,,,,,,,,
143.7814699,-37.49285265,2,20570,Ballarat (C),2013,35.7,38.4,37.1,1356,2,749,133.4,5898,5031,,,,,,,,,,,,,
143.7814699,-37.49285265,2,20570,Ballarat (C),2014,35.9,38.6,37.3,1255,2,795,135.7,5553,4883,,,,,,,,,,,,,
145.0851411,-37.73044087,2,20660,Banyule (C),2010,37.1,39.8,38.5,1578,1.8,823,1963.2,8500,9434,,,,,,,,,,,,,
145.0851411,-37.73044087,2,20660,Banyule (C),2011,37.3,40.1,38.7,1722,1.9,910,1966.4,8394,9534,5.4,4798,818,37550,262,608,707,12188,3075,11309,2974,2049,71.7
145.0851411,-37.73044087,2,20660,Banyule (C),2012,37.5,40.3,38.9,1643,1.9,839,1976.3,8087,9356,,,,,,,,,,,,,
145.0851411,-37.73044087,2,20660,Banyule (C),2013,37.6,40.4,39,1631,1.9,824,1988.8,8299,9056,,,,,,,,,,,,,
145.0851411,-37.73044087,2,20660,Banyule (C),2014,37.7,40.4,39,1590,1.9,850,2006.7,8195,9192,,,,,,,,,,,,,
145.5578215,-38.50712558,2,20740,Bass Coast (S),2010,45.1,47.3,46.3,286,2.1,307,34.1,2745,1995,,,,,,,,,,,,,
145.5578215,-38.50712558,2,20740,Bass Coast (S),2011,45.3,47.5,46.5,364,2.2,308,35,2710,2090,1.4,24,56,8516,47,105,191,2277,479,3843,801,357,56.3
145.5578215,-38.50712558,2,20740,Bass Coast (S),2012,45,47.5,46.3,343,2.3,312,35.4,2272,2211,,,,,,,,,,,,,
145.5578215,-38.50712558,2,20740,Bass Coast (S),2013,45,47.5,46.2,301,2.3,316,35.8,2366,1970,,,,,,,,,,,,,
145.5578215,-38.50712558,2,20740,Bass Coast (S),2014,45.2,47.2,46.1,361,2.3,313,36.6,2596,1968,,,,,,,,,,,,,
146.131268,-37.98388556,2,20830,Baw Baw (S),2010,39.4,41,40.2,503,2.3,327,10.4,3268,2052,,,,,,,,,,,,,
146.131268,-37.98388556,2,20830,Baw Baw (S),2011,39.8,41.4,40.6,514,2.2,298,10.8,3202,2203,1.6,303,75,13753,62,63,392,4122,866,4888,1238,519,63.7
146.131268,-37.98388556,2,20830,Baw Baw (S),2012,40.1,41.9,41,529,2.1,300,11,3048,2170,,,,,,,,,,,,,
146.131268,-37.98388556,2,20830,Baw Baw (S),2013,40.6,42.4,41.6,524,2.1,294,11.2,2976,2292,,,,,,,,,,,,,
146.131268,-37.98388556,2,20830,Baw Baw (S),2014,41.1,43,42.1,550,2.2,325,11.4,2987,2370,,,,,,,,,,,,,
145.0181541,-37.94183904,2,20910,Bayside (C),2010,40.7,43.1,41.9,1019,1.9,827,2569,6822,7169,,,,,,,,,,,,,
145.0181541,-37.94183904,2,20910,Bayside (C),2011,41.2,43.5,42.4,945,1.8,776,2583.1,6687,6719,7,3924,267,27091,200,712,444,10857,1747,8591,1922,1273,74.9
145.0181541,-37.94183904,2,20910,Bayside (C),2012,41.6,43.7,42.6,925,1.8,826,2606.5,6684,6916,,,,,,,,,,,,,
145.0181541,-37.94183904,2,20910,Bayside (C),2013,41.8,43.8,42.9,932,1.8,762,2641.6,6430,6570,,,,,,,,,,,,,
145.0181541,-37.94183904,2,20910,Bayside (C),2014,42,43.9,43.1,976,1.8,759,2686,6934,6552,,,,,,,,,,,,,
146.0237616,-36.58700297,2,21010,Benalla (RC),2010,45,47,46.1,144,2.1,155,5.9,836,992,,,,,,,,,,,,,
146.0237616,-36.58700297,2,21010,Benalla (RC),2011,45.8,47.5,46.7,105,2.1,160,5.9,912,781,1.4,4,23,4125,25,71,99,1089,228,1805,424,188,58.4
146.0237616,-36.58700297,2,21010,Benalla (RC),2012,45.9,47.8,47,143,2.1,157,5.8,896,972,,,,,,,,,,,,,
146.0237616,-36.58700297,2,21010,Benalla (RC),2013,46.2,48.5,47.5,134,2.1,138,5.8,874,912,,,,,,,,,,,,,
146.0237616,-36.58700297,2,21010,Benalla (RC),2014,46.8,49.3,48.2,140,2.3,148,5.8,831,870,,,,,,,,,,,,,
145.0630872,-37.81928718,2,21110,Boroondara (C),2010,35.7,39.6,37.9,1604,1.5,1083,2763.8,12311,14039,,,,,,,,,,,,,
145.0630872,-37.81928718,2,21110,Boroondara (C),2011,36,39.8,38.1,1556,1.5,1158,2776,12107,13526,10.1,10950,1114,45032,337,1492,748,18278,2938,13948,2959,1738,77.3
145.0630872,-37.81928718,2,21110,Boroondara (C),2012,36.2,40,38.3,1572,1.5,1082,2799.2,12068,13317,,,,,,,,,,,,,
145.0630872,-37.81928718,2,21110,Boroondara (C),2013,36.1,40,38.2,1507,1.4,1136,2831.9,12098,13129,,,,,,,,,,,,,
145.0630872,-37.81928718,2,21110,Boroondara (C),2014,36.1,39.9,38.2,1451,1.4,1119,2868.2,12249,13126,,,,,,,,,,,,,
144.8033102,-37.747553,2,21180,Brimbank (C),2010,33.7,35.5,34.6,2706,1.9,941,1530.8,11060,12469,,,,,,,,,,,,,
144.8033102,-37.747553,2,21180,Brimbank (C),2011,33.8,36,34.9,2802,1.9,975,1551.8,10713,12407,2,5215,749,54505,227,214,1251,18196,5863,13974,6087,3492,61.9
144.8033102,-37.747553,2,21180,Brimbank (C),2012,34.1,36.2,35.1,3033,1.9,948,1566.7,10257,12411,,,,,,,,,,,,,
144.8033102,-37.747553,2,21180,Brimbank (C),2013,34.3,36.5,35.4,2815,2,951,1582.8,10617,12828,,,,,,,,,,,,,
144.8033102,-37.747553,2,21180,Brimbank (C),2014,34.5,36.6,35.5,2800,1.9,1024,1602.1,11221,12938,,,,,,,,,,,,,
143.0049303,-35.91238555,2,21270,Buloke (S),2010,46.7,47.7,47.2,63,2.4,95,0.8,457,467,,,,,,,,,,,,,
143.0049303,-35.91238555,2,21270,Buloke (S),2011,47.3,48.1,47.8,43,2.1,77,0.8,439,466,0.6,,11,1529,3,31,109,557,106,832,118,61,53.3
143.0049303,-35.91238555,2,21270,Buloke (S),2012,47.6,47.9,47.7,54,2.1,89,0.8,340,414,,,,,,,,,,,,,
143.0049303,-35.91238555,2,21270,Buloke (S),2013,48,47.7,47.8,57,2,60,0.8,343,400,,,,,,,,,,,,,
143.0049303,-35.91238555,2,21270,Buloke (S),2014,48.3,47.6,47.9,53,2.3,79,0.8,327,421,,,,,,,,,,,,,
144.716414,-36.34519231,2,21370,Campaspe (S),2010,41.6,43.1,42.4,439,2.4,351,8.2,2402,2452,,,,,,,,,,,,,
144.716414,-36.34519231,2,21370,Campaspe (S),2011,42.2,43.6,42.9,411,2.3,365,8.2,2568,2469,0.7,18,38,10851,131,186,323,3227,633,4346,1084,458,57.5
144.716414,-36.34519231,2,21370,Campaspe (S),2012,42.3,43.6,43,430,2.3,309,8.2,2572,2438,,,,,,,,,,,,,
144.716414,-36.34519231,2,21370,Campaspe (S),2013,42.9,44.1,43.5,450,2.4,318,8.2,2434,2351,,,,,,,,,,,,,
144.716414,-36.34519231,2,21370,Campaspe (S),2014,43.4,44.6,44,428,2.4,372,8.2,2190,2376,,,,,,,,,,,,,
145.5725446,-38.08313922,2,21450,Cardinia (S),2010,33.6,34.7,34.2,1113,2.2,355,56,8098,4820,,,,,,,,,,,,,
145.5725446,-38.08313922,2,21450,Cardinia (S),2011,33.7,34.6,34.2,1219,2.2,377,59.2,8102,5166,1.4,892,131,26825,116,51,769,8522,1605,6864,2129,835,70.6
145.5725446,-38.08313922,2,21450,Cardinia (S),2012,33.5,34.5,34,1414,2.3,378,62.6,8324,5283,,,,,,,,,,,,,
145.5725446,-38.08313922,2,21450,Cardinia (S),2013,33.4,34.4,33.9,1349,2.3,414,65.5,8442,5580,,,,,,,,,,,,,
145.5725446,-38.08313922,2,21450,Cardinia (S),2014,33.5,34.4,34,1372,2.3,444,67.9,8334,5707,,,,,,,,,,,,,
145.308998,-38.10435207,2,21610,Casey (C),2010,32.5,33.8,33.2,3957,2.1,1094,621.5,19070,16658,,,,,,,,,,,,,
145.308998,-38.10435207,2,21610,Casey (C),2011,32.8,34,33.4,3976,2.1,1115,638.2,18757,17219,2.1,3961,939,91144,360,156,2101,30936,6278,19376,7503,3484,73.3
145.308998,-38.10435207,2,21610,Casey (C),2012,33,34.2,33.6,4553,2.1,1160,653.7,18409,17432,,,,,,,,,,,,,
145.308998,-38.10435207,2,21610,Casey (C),2013,33.2,34.3,33.8,4134,2.1,1106,671.5,19002,17539,,,,,,,,,,,,,
145.308998,-38.10435207,2,21610,Casey (C),2014,33.3,34.4,33.9,4354,2.1,1203,692.2,19809,17850,,,,,,,,,,,,,
143.7138406,-37.00716246,2,21670,Central Goldfields (S),2010,47.1,48.2,47.7,120,2.2,174,8.2,795,881,,,,,,,,,,,,,
143.7138406,-37.00716246,2,21670,Central Goldfields (S),2011,47.8,48.8,48.3,124,2.3,183,8.2,748,796,0.6,9,7,3054,20,48,107,877,265,1578,414,202,49.9
143.7138406,-37.00716246,2,21670,Central Goldfields (S),2012,48.1,49.3,48.8,141,2.4,195,8.2,731,728,,,,,,,,,,,,,
143.7138406,-37.00716246,2,21670,Central Goldfields (S),2013,48.4,49.5,49,112,2.3,165,8.2,756,683,,,,,,,,,,,,,
143.7138406,-37.00716246,2,21670,Central Goldfields (S),2014,48.9,49.8,49.4,117,2.3,161,8.2,773,705,,,,,,,,,,,,,
143.5951812,-38.45195974,2,21750,Colac-Otway (S),2010,40.5,43.1,41.8,235,2.4,207,6.1,1166,1144,,,,,,,,,,,,,
143.5951812,-38.45195974,2,21750,Colac-Otway (S),2011,40.9,43.6,42.2,266,2.4,232,6.1,1149,1080,1.1,20,24,6313,39,132,179,1794,355,2313,528,264,56.8
143.5951812,-38.45195974,2,21750,Colac-Otway (S),2012,41.3,44,42.7,265,2.4,202,6,1109,1238,,,,,,,,,,,,,
143.5951812,-38.45195974,2,21750,Colac-Otway (S),2013,41.9,44.6,43.3,246,2.5,226,6,1132,1193,,,,,,,,,,,,,
143.5951812,-38.45195974,2,21750,Colac-Otway (S),2014,42.6,45.3,44,212,2.3,190,6,1016,1144,,,,,,,,,,,,,
143.1986448,-38.20432734,2,21830,Corangamite (S),2010,41,42.7,41.8,201,2.6,156,3.8,927,1047,,,,,,,,,,,,,
143.1986448,-38.20432734,2,21830,Corangamite (S),2011,41.3,43.2,42.3,181,2.4,169,3.7,913,1004,0.9,14,11,4338,114,47,177,1569,279,1873,401,192,57.6
143.1986448,-38.20432734,2,21830,Corangamite (S),2012,42.2,44,43.1,200,2.6,160,3.7,855,1104,,,,,,,,,,,,,
143.1986448,-38.20432734,2,21830,Corangamite (S),2013,43.1,44.8,44,169,2.6,123,3.7,857,1026,,,,,,,,,,,,,
143.1986448,-38.20432734,2,21830,Corangamite (S),2014,43.7,45.3,44.6,158,2.5,144,3.6,767,929,,,,,,,,,,,,,
145.0143332,-37.73345872,2,21890,Darebin (C),2010,35.3,37,36.2,2162,1.7,968,2651.5,10658,12444,,,,,,,,,,,,,
145.0143332,-37.73345872,2,21890,Darebin (C),2011,35.4,36.8,36.1,2058,1.7,1007,2673.3,10602,12278,6.1,9236,905,34395,379,2750,863,12197,2950,12614,3013,2517,63.1
145.0143332,-37.73345872,2,21890,Darebin (C),2012,35.5,36.8,36.2,2189,1.7,1053,2705,10853,12196,,,,,,,,,,,,,
145.0143332,-37.73345872,2,21890,Darebin (C),2013,35.5,36.7,36.2,2021,1.6,940,2743.3,10924,12110,,,,,,,,,,,,,
145.0143332,-37.73345872,2,21890,Darebin (C),2014,35.6,36.7,36.1,2049,1.6,1082,2781.5,11067,12286,,,,,,,,,,,,,
148.2918001,-37.37802366,2,22110,East Gippsland (S),2010,46.4,47.1,46.7,441,2.4,460,2,2627,2026,,,,,,,,,,,,,
148.2918001,-37.37802366,2,22110,East Gippsland (S),2011,47.2,47.5,47.3,480,2.4,497,2,2634,2106,1.1,20,78,11729,74,175,439,3260,682,5924,1250,469,58.3
148.2918001,-37.37802366,2,22110,East Gippsland (S),2012,47.5,47.9,47.7,490,2.4,431,2.1,2371,2125,,,,,,,,,,,,,
148.2918001,-37.37802366,2,22110,East Gippsland (S),2013,48.1,48.4,48.2,445,2.4,434,2.1,2384,2061,,,,,,,,,,,,,
148.2918001,-37.37802366,2,22110,East Gippsland (S),2014,48.6,48.8,48.7,441,2.4,451,2.1,2521,1980,,,,,,,,,,,,,
145.1737988,-38.13460821,2,22170,Frankston (C),2010,36.1,38.3,37.2,1784,2,818,995.8,10729,9915,,,,,,,,,,,,,
145.1737988,-38.13460821,2,22170,Frankston (C),2011,36.5,38.4,37.4,1756,2,888,1005.8,10672,9956,1.5,1568,650,44998,223,201,984,11939,2876,11713,4599,2368,68.3
145.1737988,-38.13460821,2,22170,Frankston (C),2012,36.6,38.6,37.6,1956,2,832,1016.6,10508,10361,,,,,,,,,,,,,
145.1737988,-38.13460821,2,22170,Frankston (C),2013,36.7,38.8,37.7,1879,2,845,1029.8,10825,10335,,,,,,,,,,,,,
145.1737988,-38.13460821,2,22170,Frankston (C),2014,36.8,38.9,37.8,1795,2,868,1043.5,10997,10446,,,,,,,,,,,,,
143.8042323,-35.75158154,2,22250,Gannawarra (S),2010,45,46.8,45.9,106,2.3,125,2.9,676,814,,,,,,,,,,,,,
143.8042323,-35.75158154,2,22250,Gannawarra (S),2011,46.2,47.5,46.8,97,2.2,132,2.8,571,752,0.5,3,6,2765,44,47,119,853,170,1373,240,116,51.4
143.8042323,-35.75158154,2,22250,Gannawarra (S),2012,47,48.2,47.6,111,2.3,115,2.8,608,642,,,,,,,,,,,,,
143.8042323,-35.75158154,2,22250,Gannawarra (S),2013,47.5,48.3,47.9,99,2.3,119,2.8,608,575,,,,,,,,,,,,,
143.8042323,-35.75158154,2,22250,Gannawarra (S),2014,48.1,49.3,48.8,111,2.5,118,2.7,621,614,,,,,,,,,,,,,
145.0426026,-37.90120583,2,22310,Glen Eira (C),2010,36.1,38.9,37.5,1776,1.7,942,3528.3,9822,11168,,,,,,,,,,,,,
145.0426026,-37.90120583,2,22310,Glen Eira (C),2011,36.1,39,37.6,1710,1.7,960,3544.8,9788,11385,7.8,8821,629,38749,291,921,685,14150,2450,12193,2584,1658,72.4
145.0426026,-37.90120583,2,22310,Glen Eira (C),2012,36.1,39,37.6,1832,1.7,924,3598.8,9821,10697,,,,,,,,,,,,,
145.0426026,-37.90120583,2,22310,Glen Eira (C),2013,36,39,37.5,1709,1.7,913,3654.9,9743,10664,,,,,,,,,,,,,
145.0426026,-37.90120583,2,22310,Glen Eira (C),2014,35.8,38.8,37.3,1692,1.6,940,3723.3,9895,10580,,,,,,,,,,,,,
141.3857168,-37.87050422,2,22410,Glenelg (S),2010,42.2,43,42.6,183,2,182,3.2,1011,1096,,,,,,,,,,,,,
141.3857168,-37.87050422,2,22410,Glenelg (S),2011,42.9,43.4,43.1,193,1.9,168,3.2,1108,1108,0.8,7,37,5955,53,59,203,1730,350,2327,612,213,58.8
141.3857168,-37.87050422,2,22410,Glenelg (S),2012,43.3,44.2,43.7,209,2,194,3.2,1068,1241,,,,,,,,,,,,,
141.3857168,-37.87050422,2,22410,Glenelg (S),2013,44.1,45.1,44.5,214,2.2,192,3.1,946,1212,,,,,,,,,,,,,
141.3857168,-37.87050422,2,22410,Glenelg (S),2014,44.7,45.7,45.2,186,2.2,171,3.1,984,1075,,,,,,,,,,,,,
143.842517,-37.88206693,2,22490,Golden Plains (S),2010,38.8,38.6,38.7,213,2.3,86,6.8,1743,1374,,,,,,,,,,,,,
143.842517,-37.88206693,2,22490,Golden Plains (S),2011,39.2,38.9,39,210,2.2,91,7,1843,1563,1.4,34,34,6595,28,17,215,2206,450,1986,372,163,71.2
143.842517,-37.88206693,2,22490,Golden Plains (S),2012,39.4,39.1,39.2,261,2.2,85,7.2,1944,1513,,,,,,,,,,,,,
143.842517,-37.88206693,2,22490,Golden Plains (S),2013,39.4,38.9,39.1,254,2.3,106,7.4,1697,1332,,,,,,,,,,,,,
143.842517,-37.88206693,2,22490,Golden Plains (S),2014,39.6,38.9,39.3,254,2.4,124,7.6,1731,1400,,,,,,,,,,,,,
144.4226452,-36.7344411,2,22620,Greater Bendigo (C),2010,36.9,39.1,38,1256,2.1,777,33.5,5361,4541,,,,,,,,,,,,,
144.4226452,-36.7344411,2,22620,Greater Bendigo (C),2011,37.2,39.2,38.3,1358,2.1,815,34,5338,4580,1.8,216,431,33618,240,422,677,9193,1728,10438,3455,1425,63.4
144.4226452,-36.7344411,2,22620,Greater Bendigo (C),2012,37.2,39.3,38.3,1390,2,857,34.5,5372,4539,,,,,,,,,,,,,
144.4226452,-36.7344411,2,22620,Greater Bendigo (C),2013,37.4,39.5,38.5,1340,2,773,35.1,5649,4570,,,,,,,,,,,,,
144.4226452,-36.7344411,2,22620,Greater Bendigo (C),2014,37.5,39.7,38.6,1410,2,869,35.7,5301,4595,,,,,,,,,,,,,
145.1900177,-38.00555127,2,22670,Greater Dandenong (C),2010,34,36,35,2147,2,898,1081.9,8815,12035,,,,,,,,,,,,,
145.1900177,-38.00555127,2,22670,Greater Dandenong (C),2011,33.9,36.4,35.1,2189,2,970,1097,9020,11250,2.5,3042,1159,39001,128,204,922,13333,3549,11047,4100,2719,61
145.1900177,-38.00555127,2,22670,Greater Dandenong (C),2012,33.9,36.4,35.1,2426,2,958,1113.6,9093,11100,,,,,,,,,,,,,
145.1900177,-38.00555127,2,22670,Greater Dandenong (C),2013,34,36.4,35.1,2259,2.1,908,1131.3,9976,11704,,,,,,,,,,,,,
145.1900177,-38.00555127,2,22670,Greater Dandenong (C),2014,34,36.3,35,2332,2.1,1015,1153.7,10215,12379,,,,,,,,,,,,,
144.4171666,-38.06897413,2,22750,Greater Geelong (C),2010,37.6,40.2,38.9,2549,1.9,1764,170.4,9968,8396,,,,,,,,,,,,,
144.4171666,-38.06897413,2,22750,Greater Geelong (C),2011,38,40.6,39.4,2546,1.9,1870,173,10175,8915,2.3,1816,1215,68607,296,900,1218,19320,4387,22142,6545,3214,64.4
144.4171666,-38.06897413,2,22750,Greater Geelong (C),2012,38.2,40.8,39.6,2760,1.9,1749,174.8,10126,8962,,,,,,,,,,,,,
144.4171666,-38.06897413,2,22750,Greater Geelong (C),2013,38.4,41,39.7,2824,2,1763,177.4,10302,8695,,,,,,,,,,,,,
144.4171666,-38.06897413,2,22750,Greater Geelong (C),2014,38.5,41.1,39.9,2709,2,2008,180.2,10282,8904,,,,,,,,,,,,,
145.3861934,-36.39699059,2,22830,Greater Shepparton (C),2010,36.9,38.3,37.6,810,2.3,405,25.4,3317,3260,,,,,,,,,,,,,
145.3861934,-36.39699059,2,22830,Greater Shepparton (C),2011,37.3,38.5,37.9,863,2.2,474,25.5,3078,3345,1.3,19,127,20036,133,266,365,5680,1137,5988,1982,723,59.5
145.3861934,-36.39699059,2,22830,Greater Shepparton (C),2012,37.4,38.4,37.9,910,2.3,448,25.8,2990,3337,,,,,,,,,,,,,
145.3861934,-36.39699059,2,22830,Greater Shepparton (C),2013,37.7,38.7,38.2,929,2.3,416,25.9,3066,3527,,,,,,,,,,,,,
145.3861934,-36.39699059,2,22830,Greater Shepparton (C),2014,37.8,38.9,38.4,870,2.3,485,26.1,3045,3399,,,,,,,,,,,,,
144.0575606,-37.31693699,2,22910,Hepburn (S),2010,45.1,46.5,45.8,154,2.4,132,9.9,1128,1118,,,,,,,,,,,,,
144.0575606,-37.31693699,2,22910,Hepburn (S),2011,45.4,47.1,46.2,140,2.2,151,9.9,1264,1131,3.1,59,25,4043,16,19,116,1133,243,1809,448,196,60.9
144.0575606,-37.31693699,2,22910,Hepburn (S),2012,45.9,47.6,46.7,158,2.2,134,10,1170,1062,,,,,,,,,,,,,
144.0575606,-37.31693699,2,22910,Hepburn (S),2013,46.2,47.8,47,147,2.2,136,10.1,1246,1113,,,,,,,,,,,,,
144.0575606,-37.31693699,2,22910,Hepburn (S),2014,46.6,48.2,47.5,131,2.1,146,10.1,1135,1096,,,,,,,,,,,,,
141.7525542,-36.05151799,2,22980,Hindmarsh (S),2010,46,46.9,46.5,55,2.3,93,0.8,362,428,,,,,,,,,,,,,
141.7525542,-36.05151799,2,22980,Hindmarsh (S),2011,46.8,47.7,47.3,46,2,90,0.8,397,430,0.7,,4,1441,15,17,89,491,91,738,125,80,52.7
141.7525542,-36.05151799,2,22980,Hindmarsh (S),2012,47.2,48.7,48,67,2.3,75,0.8,351,412,,,,,,,,,,,,,
141.7525542,-36.05151799,2,22980,Hindmarsh (S),2013,47.9,49.6,48.7,60,2.5,97,0.8,340,382,,,,,,,,,,,,,
141.7525542,-36.05151799,2,22980,Hindmarsh (S),2014,48.3,50,49.2,41,2.5,67,0.8,355,340,,,,,,,,,,,,,
144.8297577,-37.85472062,2,23110,Hobsons Bay (C),2010,36.6,38.6,37.7,1354,2.1,578,1357.3,6288,7509,,,,,,,,,,,,,
144.8297577,-37.85472062,2,23110,Hobsons Bay (C),2011,36.8,38.8,37.8,1327,2.1,607,1360.4,6230,7266,4.2,3674,458,25737,212,517,500,8494,1894,7903,2171,1553,65
144.8297577,-37.85472062,2,23110,Hobsons Bay (C),2012,36.9,39.1,38,1330,2.1,587,1374.1,6226,7195,,,,,,,,,,,,,
144.8297577,-37.85472062,2,23110,Hobsons Bay (C),2013,37,39.2,38.1,1265,2,579,1391.7,6418,6988,,,,,,,,,,,,,
144.8297577,-37.85472062,2,23110,Hobsons Bay (C),2014,36.9,39.2,38,1250,2,581,1418.8,6508,6826,,,,,,,,,,,,,
142.0904284,-36.8257686,2,23190,Horsham (RC),2010,39.3,40.5,39.9,220,2.1,175,4.5,1200,1171,,,,,,,,,,,,,
142.0904284,-36.8257686,2,23190,Horsham (RC),2011,39.4,41,40.2,245,2,159,4.6,1226,1163,1.3,6,54,6499,32,125,189,1763,304,2258,575,231,58.7
142.0904284,-36.8257686,2,23190,Horsham (RC),2012,39.6,41.3,40.5,259,2.1,158,4.6,1151,1068,,,,,,,,,,,,,
142.0904284,-36.8257686,2,23190,Horsham (RC),2013,39.8,42,41,254,2.3,168,4.6,1033,1101,,,,,,,,,,,,,
142.0904284,-36.8257686,2,23190,Horsham (RC),2014,39.9,42.4,41.3,242,2.3,175,4.6,962,1087,,,,,,,,,,,,,
144.8245355,-37.58918184,2,23270,Hume (C),2010,32.2,33.4,32.8,2536,2.1,711,339.3,9967,9399,,,,,,,,,,,,,
144.8245355,-37.58918184,2,23270,Hume (C),2011,32.3,33.4,32.9,2692,2.1,709,345.9,9933,9172,1.7,3209,539,52600,202,148,1316,19385,4665,11614,5160,2869,68.7
144.8245355,-37.58918184,2,23270,Hume (C),2012,32.5,33.5,33,3053,2.1,729,353.4,9477,9370,,,,,,,,,,,,,
144.8245355,-37.58918184,2,23270,Hume (C),2013,32.6,33.6,33.1,2910,2.2,671,363.5,9770,8987,,,,,,,,,,,,,
144.8245355,-37.58918184,2,23270,Hume (C),2014,32.7,33.7,33.2,3070,2.2,748,374.8,10477,9571,,,,,,,,,,,,,
146.7230939,-36.22554892,2,23350,Indigo (S),2010,43.3,44,43.6,136,2.1,116,7.5,1372,1197,,,,,,,,,,,,,
146.7230939,-36.22554892,2,23350,Indigo (S),2011,44,44.7,44.4,151,2.1,120,7.5,1346,1217,2.6,5,23,5099,40,47,131,1457,281,1845,396,142,64.9
146.7230939,-36.22554892,2,23350,Indigo (S),2012,44.4,45.2,44.8,160,2.3,127,7.5,1219,1172,,,,,,,,,,,,,
146.7230939,-36.22554892,2,23350,Indigo (S),2013,45.1,45.5,45.3,128,2.2,118,7.5,1143,1112,,,,,,,,,,,,,
146.7230939,-36.22554892,2,23350,Indigo (S),2014,45.6,46,45.8,127,2.1,142,7.6,1181,1152,,,,,,,,,,,,,
145.1050725,-37.98858367,2,23430,Kingston (C),2010,37.9,40,38.9,1936,1.8,1075,1613.3,10830,11036,,,,,,,,,,,,,
145.1050725,-37.98858367,2,23430,Kingston (C),2011,38.2,40.5,39.4,1919,1.8,1095,1623.2,10691,11322,3.6,5143,756,48036,255,555,865,14934,3544,13738,3396,2367,69.1
145.1050725,-37.98858367,2,23430,Kingston (C),2012,38.4,40.6,39.6,1903,1.8,1018,1641.9,10571,11237,,,,,,,,,,,,,
145.1050725,-37.98858367,2,23430,Kingston (C),2013,38.6,40.8,39.7,1936,1.8,1063,1658.9,10813,11208,,,,,,,,,,,,,
145.1050725,-37.98858367,2,23430,Kingston (C),2014,38.8,40.9,39.9,1789,1.7,1069,1675.4,10399,11218,,,,,,,,,,,,,
145.2586995,-37.8889442,2,23670,Knox (C),2010,36.5,38.7,37.6,1859,1.8,870,1358.6,9784,10850,,,,,,,,,,,,,
